Log file status checked - Created
Collecting Started
Measurement Taken: 528
Measurement Taken: 1288
Measurement Taken: 915
Measurement Taken: 901
Measurement Taken: 414
Measurement Taken: 12
Measurement Taken: 919
Measurement Taken: 126
Measurement Taken: 191
Measurement Taken: 924
Measurement Taken: 323
Measurement Taken: 346
Measurement Taken: 32
Measurement Taken: 490
Measurement Taken: 1303
Measurement Taken: 471
Measurement Taken: 853
Measurement Taken: 1356
Measurement Taken: 1188
Measurement Taken: 387
Measurement Taken: 522
Measurement Taken: 347
Measurement Taken: 211
Measurement Taken: 812
Measurement Taken: 347
Measurement Taken: 1297
Measurement Taken: 70
Measurement Taken: 1258
Measurement Taken: 901
Measurement Taken: 859
Measurement Taken: 1277
Measurement Taken: 110
Measurement Taken: 597
Measurement Taken: 1306
Measurement Taken: 1028
Measurement Taken: 794
Measurement Taken: 1341
Measurement Taken: 790
Measurement Taken: 948
Measurement Taken: 736
Measurement Taken: 98
Measurement Taken: 1281
Measurement Taken: 488
Measurement Taken: 625
Measurement Taken: 664
Measurement Taken: 904
Measurement Taken: 1353
Measurement Taken: 179
Measurement Taken: 1133
Measurement Taken: 303
Measurement Taken: 697
Measurement Taken: 983
Measurement Taken: 169
Measurement Taken: 1199
Measurement Taken: 1061
Measurement Taken: 181
Measurement Taken: 1076
Measurement Taken: 102
Measurement Taken: 554
Measurement Taken: 506
Measurement Taken: 1332
Measurement Taken: 1051
Measurement Taken: 615
Measurement Taken: 721
Log File Changed
New Log File: E:\Labfiles\Lab 10\Lab A\LogFile2.txt
